segment_id,road_type,length_km,travel_time_minutes,rainfall_mm,hazard_score,elevation_meters,historical_flood_exposure,drainage_pressure,is_disrupted
syn-road-0074,secondary,1.56,3.6,197.2,0.73,9.4,0.59,0.68,1
syn-road-0075,arterial,14.95,20.2,146.4,0.37,11.5,0.37,0.58,1
syn-road-0076,arterial,10.29,15.6,120.6,0.44,7.6,0.35,0.54,1
syn-road-0077,local,9.11,31.9,243.8,0.47,17.5,0.41,0.63,1
syn-road-0078,local,14.38,42.7,144.0,0.57,11.4,0.72,0.4,1
syn-road-0079,arterial,10.54,14.3,161.6,0.57,12.3,0.83,0.46,0
syn-road-0080,secondary,10.91,24.9,192.9,0.65,6.0,0.61,0.87,1
syn-road-0081,arterial,10.46,10.9,121.9,0.71,-0.9,0.84,0.62,1
syn-road-0082,local,10.69,36.5,137.4,0.62,4.0,0.26,0.72,1
syn-road-0083,local,10.58,34.6,58.3,0.12,18.1,0.02,0.19,0
syn-road-0084,arterial,14.6,20.8,53.1,0.74,-0.6,0.93,0.74,1
syn-road-0085,secondary,13.59,26.2,218.5,0.51,13.6,0.22,0.71,0
syn-road-0086,local,11.69,36.1,74.1,0.47,10.4,0.99,0.34,1
syn-road-0087,arterial,3.27,5.2,128.1,0.27,18.4,0.31,0.28,1
syn-road-0088,local,11.48,36.1,101.6,0.4,8.6,0.56,0.57,0
syn-road-0089,primary,11.0,15.8,52.5,0.26,9.5,0.0,0.42,0
syn-road-0090,primary,9.05,15.9,71.7,0.39,16.5,0.76,0.23,1
syn-road-0091,arterial,12.71,16.8,228.6,0.75,6.7,0.55,0.82,0
syn-road-0092,local,10.69,32.5,55.3,0.2,18.6,0.62,0.13,0
syn-road-0093,secondary,1.17,3.1,205.5,0.68,9.4,0.47,0.72,1
syn-road-0094,arterial,1.65,1.4,226.1,0.48,15.6,0.31,0.45,0
syn-road-0095,primary,9.69,15.6,208.1,0.67,10.5,0.87,0.62,0
syn-road-0096,primary,4.83,9.3,90.2,0.46,5.0,0.51,0.63,0
syn-road-0097,arterial,13.25,20.1,236.7,0.69,11.1,0.57,0.83,1
syn-road-0098,arterial,10.52,13.8,71.5,0.63,4.1,0.68,0.6,1
syn-road-0099,primary,5.36,9.9,162.4,0.37,15.0,0.47,0.44,0
syn-road-0100,arterial,11.71,14.5,184.8,0.63,13.2,0.67,0.49,0
syn-road-0101,secondary,9.92,20.3,225.4,0.94,-0.1,0.99,0.99,1
syn-road-0102,arterial,1.95,5.9,191.1,0.55,19.3,0.81,0.4,0
syn-road-0103,local,10.6,36.0,171.9,0.71,3.0,0.99,0.67,1
syn-road-0104,secondary,9.6,23.4,155.4,0.49,13.8,0.13,0.54,0
syn-road-0105,arterial,8.66,11.5,113.2,0.46,11.9,0.79,0.49,0
syn-road-0106,local,9.03,26.6,90.2,0.32,18.2,0.21,0.22,0
syn-road-0107,primary,10.93,15.8,83.5,0.58,9.9,0.83,0.45,1
syn-road-0108,secondary,5.6,13.3,195.5,0.67,8.2,0.92,0.68,1
syn-road-0109,arterial,13.71,19.2,112.6,0.4,14.3,0.88,0.37,0
syn-road-0110,primary,12.6,21.3,238.5,0.39,19.6,0.08,0.41,1
syn-road-0111,primary,2.54,8.1,108.3,0.59,4.8,0.91,0.48,0
syn-road-0112,local,8.77,27.0,152.6,0.61,5.3,0.59,0.59,1
syn-road-0113,arterial,3.72,9.4,61.5,0.26,8.6,0.07,0.33,0
syn-road-0114,arterial,3.74,7.1,57.9,0.56,1.0,0.66,0.64,1
syn-road-0115,primary,5.53,10.1,146.9,0.51,10.5,0.96,0.46,0
syn-road-0116,local,3.9,12.3,68.9,0.42,7.5,0.13,0.39,1
syn-road-0117,primary,5.91,12.8,51.2,0.51,4.6,0.16,0.54,0
syn-road-0118,secondary,12.2,27.7,109.9,0.32,18.2,0.85,0.26,0
syn-road-0119,arterial,11.89,13.8,59.1,0.35,12.9,0.17,0.35,0
syn-road-0120,arterial,11.67,17.2,225.5,0.57,6.6,0.18,0.89,1
syn-road-0121,primary,13.17,22.2,243.2,0.55,18.4,0.27,0.57,0
syn-road-0122,secondary,11.38,22.4,213.5,0.58,9.0,0.07,0.83,0
syn-road-0123,local,9.13,26.4,172.9,0.5,10.4,0.51,0.55,1
syn-road-0124,arterial,14.49,17.7,80.8,0.35,5.9,0.23,0.52,1
syn-road-0125,arterial,4.37,4.8,187.3,0.6,8.9,0.49,0.63,0
syn-road-0126,local,6.45,22.1,102.5,0.28,18.9,0.91,0.23,1
syn-road-0127,arterial,7.37,8.1,80.5,0.38,12.3,0.04,0.33,0
syn-road-0128,secondary,9.77,21.3,96.1,0.55,3.5,0.39,0.56,1
syn-road-0129,secondary,9.35,21.5,190.7,0.64,14.9,0.77,0.55,0
syn-road-0130,primary,4.81,6.8,122.1,0.38,14.7,0.42,0.42,0
syn-road-0131,local,12.09,39.5,112.0,0.61,2.1,0.75,0.67,1
syn-road-0132,local,2.32,7.9,80.6,0.44,8.2,0.59,0.44,0
syn-road-0133,secondary,14.49,31.5,224.9,0.83,2.5,0.59,1.0,1
syn-road-0134,primary,10.87,17.1,147.6,0.52,10.6,0.62,0.43,1
syn-road-0135,arterial,8.02,13.2,110.6,0.5,12.0,0.78,0.4,1
syn-road-0136,secondary,14.59,28.0,189.5,0.6,1.4,0.09,0.95,1
syn-road-0137,arterial,14.13,17.3,173.0,0.59,8.9,0.45,0.54,1
syn-road-0138,primary,12.07,19.4,139.5,0.34,19.8,0.62,0.29,1
syn-road-0139,local,10.67,32.8,192.4,0.65,11.0,0.88,0.49,0
syn-road-0140,primary,13.83,20.5,181.8,0.71,8.7,0.7,0.65,1
syn-road-0141,secondary,6.1,15.6,225.1,0.77,6.3,0.85,0.92,1
syn-road-0142,arterial,7.76,7.8,148.5,0.64,3.6,0.84,0.72,0
syn-road-0143,local,10.71,34.0,60.4,0.3,6.8,0.13,0.5,0
syn-road-0144,local,6.04,19.5,95.3,0.59,3.5,0.66,0.63,0
syn-road-0145,primary,7.63,13.7,98.2,0.54,2.8,0.18,0.5,1
syn-road-0146,primary,10.99,14.7,131.0,0.17,19.7,0.23,0.23,0
syn-road-0147,secondary,9.52,23.5,242.8,0.8,10.9,0.71,0.58,1
syn-road-0148,local,7.65,21.3,210.5,0.65,6.4,0.03,0.8,1
syn-road-0149,arterial,2.3,5.8,119.0,0.65,0.7,0.44,0.75,0
syn-road-0150,local,10.81,33.6,57.7,0.4,10.1,0.45,0.39,0
syn-road-0151,arterial,3.4,5.7,100.4,0.33,10.2,0.24,0.47,1
syn-road-0152,primary,6.7,11.5,151.6,0.69,4.3,0.68,0.74,0
syn-road-0153,local,14.94,48.7,82.4,0.35,15.6,0.96,0.22,1
syn-road-0154,local,10.35,30.2,102.5,0.51,0.5,0.24,0.59,1
syn-road-0155,local,3.56,13.7,101.4,0.52,11.0,0.57,0.48,1
syn-road-0156,secondary,8.68,21.1,176.6,0.68,9.8,0.89,0.5,1
syn-road-0157,local,8.28,26.2,226.4,0.7,13.9,0.63,0.62,0
syn-road-0158,local,6.1,17.1,228.2,0.77,7.4,0.96,0.64,1
syn-road-0159,primary,3.5,8.3,88.7,0.45,12.2,0.81,0.41,0
syn-road-0160,local,3.76,14.6,67.7,0.4,7.1,0.15,0.46,0
syn-road-0161,primary,10.71,16.0,130.5,0.55,9.3,0.22,0.48,0
syn-road-0162,local,12.92,38.2,229.2,0.44,17.1,0.02,0.62,1
syn-road-0163,local,6.39,22.1,130.8,0.3,18.7,0.78,0.26,1
syn-road-0164,arterial,13.58,16.6,73.0,0.52,1.8,0.54,0.6,1
syn-road-0165,secondary,13.66,31.3,199.7,0.61,12.0,0.42,0.68,0
syn-road-0166,arterial,7.84,12.9,119.7,0.74,-0.8,0.33,0.88,1
syn-road-0167,arterial,6.89,11.1,102.4,0.4,10.1,0.18,0.54,1
syn-road-0168,local,13.36,44.1,109.5,0.66,0.5,0.65,0.6,1
syn-road-0169,primary,3.01,6.2,167.3,0.44,15.8,0.94,0.47,1
syn-road-0170,secondary,9.34,23.3,113.5,0.65,6.9,0.87,0.57,1
syn-road-0171,arterial,4.69,9.0,191.5,0.51,18.0,0.43,0.36,1
syn-road-0172,secondary,4.08,10.5,85.7,0.5,4.5,0.26,0.57,0
syn-road-0173,arterial,14.49,18.8,207.2,0.73,8.8,0.57,0.82,1
syn-road-0174,secondary,1.83,7.9,150.0,0.37,15.3,0.11,0.45,0
syn-road-0175,arterial,13.89,21.4,166.4,0.44,12.9,0.62,0.45,1
syn-road-0176,local,9.29,32.5,176.4,0.71,-0.6,0.37,0.79,1
syn-road-0177,local,8.7,27.4,114.1,0.6,1.0,0.27,0.58,1
syn-road-0178,primary,13.78,25.0,131.8,0.41,17.0,0.78,0.31,1
syn-road-0179,local,2.02,5.6,147.4,0.44,17.4,0.37,0.35,1
syn-road-0180,primary,14.17,20.3,115.1,0.64,0.9,0.72,0.75,1
syn-road-0181,local,4.53,13.7,208.0,0.49,10.0,0.25,0.77,1
syn-road-0182,secondary,9.86,18.8,154.7,0.3,16.3,0.3,0.37,0
syn-road-0183,local,12.73,41.9,107.9,0.59,6.2,0.86,0.51,1
syn-road-0184,primary,3.67,7.3,137.2,0.54,5.7,0.65,0.72,0
syn-road-0185,local,4.73,14.4,126.7,0.71,3.7,0.58,0.54,1
syn-road-0186,secondary,9.65,18.0,77.6,0.37,14.0,0.7,0.27,0
syn-road-0187,arterial,12.07,17.2,248.2,0.57,19.8,0.53,0.45,1
syn-road-0188,arterial,10.47,12.0,227.8,0.79,-0.0,0.02,1.0,1
syn-road-0189,secondary,10.74,23.7,246.9,0.82,1.3,0.14,1.0,1
syn-road-0190,arterial,4.7,6.2,177.7,0.53,13.1,0.24,0.52,0
syn-road-0191,arterial,4.55,4.2,159.1,0.33,19.9,0.37,0.36,0
syn-road-0192,arterial,1.91,2.0,119.9,0.31,17.0,0.05,0.28,0
syn-road-0193,local,11.6,38.8,221.6,0.68,9.5,0.65,0.62,0
syn-road-0194,arterial,7.54,7.5,111.1,0.48,4.7,0.12,0.58,0
syn-road-0195,primary,11.82,22.5,245.2,0.57,13.8,0.55,0.54,0
syn-road-0196,arterial,13.44,14.2,132.5,0.7,1.8,0.28,0.68,0
syn-road-0197,local,1.49,8.0,185.8,0.62,10.3,0.55,0.5,0
syn-road-0198,secondary,9.26,18.7,90.5,0.28,13.8,0.18,0.29,1
syn-road-0199,arterial,10.49,14.7,152.6,0.76,2.9,0.81,0.87,1
syn-road-0200,local,14.5,45.2,164.6,0.83,0.5,0.67,0.85,1
syn-road-0201,arterial,6.46,12.1,120.7,0.56,10.2,0.68,0.4,0
syn-road-0202,primary,8.57,12.1,135.8,0.44,16.2,0.84,0.34,0
syn-road-0203,arterial,6.82,6.6,169.3,0.73,-0.5,0.3,0.86,1
syn-road-0204,secondary,11.76,27.3,166.2,0.45,9.3,0.11,0.7,1
syn-road-0205,secondary,7.54,17.2,217.7,0.68,7.1,0.68,0.61,0
syn-road-0206,secondary,2.16,7.2,93.9,0.7,1.5,0.85,0.55,0
syn-road-0207,secondary,3.14,11.1,153.7,0.34,12.6,0.23,0.47,0
syn-road-0208,secondary,14.99,34.2,84.6,0.39,15.0,0.41,0.28,0
syn-road-0209,secondary,6.22,15.0,199.4,0.65,11.7,0.54,0.6,1
syn-road-0210,secondary,13.34,28.3,147.1,0.51,11.1,0.61,0.42,1
syn-road-0211,arterial,9.14,15.3,171.1,0.54,8.3,0.26,0.57,1
syn-road-0212,primary,0.98,3.1,134.5,0.54,13.7,0.72,0.4,1
syn-road-0213,local,5.32,18.7,134.8,0.29,12.8,0.12,0.42,0
syn-road-0214,local,2.95,12.9,113.3,0.31,15.1,0.02,0.33,0
syn-road-0215,local,9.04,26.4,132.7,0.55,10.4,0.3,0.49,0
syn-road-0216,local,11.81,38.8,158.0,0.64,2.5,0.06,0.63,1
syn-road-0217,secondary,5.24,10.3,181.2,0.73,8.7,0.67,0.75,1
syn-road-0218,arterial,7.78,8.9,71.7,0.4,7.5,0.43,0.53,0
syn-road-0219,primary,9.18,15.2,168.7,0.64,3.6,0.18,0.74,1
syn-road-0220,local,12.59,42.5,250.0,0.74,7.8,0.08,0.78,1
syn-road-0221,local,7.67,26.7,179.7,0.61,8.3,0.08,0.74,1
syn-road-0222,arterial,3.69,5.1,190.6,0.41,19.7,0.36,0.4,0
syn-road-0223,primary,5.63,7.5,220.2,0.41,16.4,0.31,0.43,0
syn-road-0224,arterial,5.07,4.5,94.8,0.28,17.9,0.9,0.22,0
syn-road-0225,secondary,7.99,16.3,196.8,0.83,1.0,0.65,0.95,1
syn-road-0226,primary,10.95,19.5,107.7,0.49,1.6,0.11,0.55,1
syn-road-0227,secondary,1.71,7.2,177.2,0.43,16.3,0.5,0.39,1
syn-road-0228,arterial,6.01,11.0,174.0,0.41,18.7,0.81,0.35,1
syn-road-0229,secondary,2.15,5.4,75.4,0.63,4.7,0.87,0.5,0
syn-road-0230,arterial,3.7,3.0,140.3,0.55,8.1,0.2,0.6,1
syn-road-0231,local,6.08,21.6,186.4,0.72,8.3,0.81,0.71,1
syn-road-0232,local,12.89,37.9,197.7,0.47,16.2,0.14,0.4,1
syn-road-0233,secondary,7.11,16.7,232.5,0.77,1.3,0.59,0.87,1
syn-road-0234,secondary,5.93,11.2,55.6,0.52,8.7,0.74,0.44,1
syn-road-0235,primary,7.2,13.4,211.5,0.69,5.6,0.32,0.75,1
syn-road-0236,arterial,10.76,17.0,128.5,0.6,12.8,0.81,0.47,0
syn-road-0237,local,11.89,37.3,182.9,0.55,14.6,0.61,0.5,0
syn-road-0238,local,12.94,37.9,191.9,0.73,7.6,0.66,0.59,1
syn-road-0239,primary,8.96,12.0,136.0,0.42,9.7,0.47,0.53,1
syn-road-0240,local,11.24,36.4,173.3,0.59,9.6,0.94,0.51,0
syn-road-0241,arterial,6.48,10.8,197.7,0.71,2.1,0.43,0.8,0
syn-road-0242,primary,5.41,9.3,111.6,0.44,6.8,0.47,0.54,0
syn-road-0243,arterial,0.55,1.0,182.5,0.53,19.7,0.65,0.37,0
syn-road-0244,primary,8.64,16.9,225.5,0.39,19.8,0.49,0.39,1
syn-road-0245,local,5.75,19.7,170.9,0.4,17.5,0.52,0.44,0
syn-road-0246,primary,9.78,13.8,242.2,0.6,8.4,0.14,0.64,1
syn-road-0247,primary,9.24,18.3,175.4,0.66,10.8,0.55,0.65,0
syn-road-0248,arterial,0.88,1.0,243.0,0.73,5.6,0.81,0.94,1
syn-road-0249,local,2.09,7.7,187.2,0.61,15.8,0.72,0.53,1
syn-road-0250,arterial,1.5,3.4,224.7,0.56,6.3,0.15,0.7,1
syn-road-0251,secondary,1.36,4.2,171.9,0.85,0.2,0.91,1.0,1
syn-road-0252,arterial,1.74,4.2,137.6,0.56,3.1,0.32,0.78,1
syn-road-0253,secondary,10.05,22.1,198.4,0.63,5.7,0.32,0.81,1
syn-road-0254,local,1.64,5.3,169.5,0.68,3.2,0.72,0.67,1
syn-road-0255,secondary,8.42,17.9,167.8,0.62,3.4,0.65,0.87,1
syn-road-0256,arterial,3.73,5.2,123.0,0.59,14.3,0.97,0.37,0
syn-road-0257,local,10.96,35.8,74.8,0.5,4.9,0.1,0.53,1
syn-road-0258,local,2.88,7.5,232.7,0.48,18.7,0.41,0.54,0
syn-road-0259,arterial,13.05,18.7,130.4,0.7,1.6,0.69,0.64,0
syn-road-0260,primary,14.71,23.3,227.2,0.64,13.5,0.9,0.69,0
syn-road-0261,local,1.53,7.6,200.4,0.43,14.1,0.36,0.51,1
syn-road-0262,primary,7.41,12.2,226.6,0.61,15.2,0.47,0.52,1
syn-road-0263,primary,10.82,17.9,132.8,0.33,16.0,0.17,0.42,1
syn-road-0264,local,8.27,27.2,114.1,0.76,0.4,0.73,0.76,0
syn-road-0265,primary,8.45,13.4,219.5,0.61,18.9,0.95,0.51,0
syn-road-0266,arterial,6.78,7.7,57.2,0.57,7.5,0.98,0.47,0
syn-road-0267,arterial,11.23,13.8,192.9,0.38,16.3,0.28,0.43,0
syn-road-0268,primary,3.47,6.5,243.1,0.51,14.6,0.13,0.59,1
syn-road-0269,arterial,10.21,12.1,232.1,0.6,9.2,0.21,0.77,0
syn-road-0270,primary,1.04,6.5,147.1,0.45,14.9,0.08,0.42,1
syn-road-0271,secondary,6.18,17.3,93.7,0.59,2.7,0.54,0.72,1
syn-road-0272,secondary,10.75,20.8,206.8,0.45,17.4,0.63,0.57,0
syn-road-0273,primary,0.68,5.2,85.4,0.35,13.1,0.57,0.29,0
syn-road-0274,secondary,12.63,24.6,193.2,0.44,12.3,0.37,0.47,1
syn-road-0275,local,11.13,38.0,230.8,0.68,5.1,0.14,0.79,1
syn-road-0276,arterial,3.15,6.3,243.0,0.81,8.5,0.85,0.66,1
syn-road-0277,arterial,4.93,5.5,175.9,0.44,13.3,0.4,0.6,0
syn-road-0278,local,7.24,22.4,241.9,0.7,10.0,0.52,0.65,0
syn-road-0279,arterial,14.06,20.5,118.7,0.36,12.6,0.44,0.4,0
syn-road-0280,local,10.66,31.9,235.1,0.63,14.5,0.82,0.58,0
syn-road-0281,local,8.05,26.9,243.9,0.5,17.4,0.33,0.61,1
syn-road-0282,secondary,5.42,13.5,219.3,0.6,10.4,0.19,0.64,1
syn-road-0283,local,14.35,46.7,224.0,0.61,7.8,0.28,0.89,0
syn-road-0284,primary,4.78,11.7,248.2,0.66,5.2,0.1,0.91,0
syn-road-0285,primary,9.51,17.6,226.9,0.92,3.0,0.96,0.99,1
syn-road-0286,secondary,12.38,24.6,177.0,0.66,-0.2,0.39,0.95,1
syn-road-0287,primary,12.98,19.8,150.3,0.67,-0.1,0.03,0.9,1
syn-road-0288,secondary,13.41,29.4,77.8,0.37,14.5,0.65,0.27,0
syn-road-0289,secondary,3.0,4.2,50.5,0.28,15.8,0.15,0.19,0
syn-road-0290,local,6.49,20.3,152.9,0.43,16.5,0.43,0.34,1
syn-road-0291,arterial,10.33,15.8,186.2,0.71,5.4,0.78,0.78,1
syn-road-0292,arterial,3.3,2.6,159.0,0.23,19.0,0.04,0.39,1
syn-road-0293,secondary,9.84,18.8,241.9,0.53,14.5,0.23,0.53,1
syn-road-0294,primary,3.74,5.3,121.0,0.64,2.3,0.76,0.67,0
syn-road-0295,primary,4.34,9.1,176.7,0.45,16.4,0.72,0.48,1
syn-road-0296,local,2.46,5.5,165.7,0.64,13.1,0.84,0.59,1
syn-road-0297,primary,4.66,7.1,156.6,0.7,6.2,0.96,0.73,1
syn-road-0298,local,8.89,29.8,107.5,0.59,6.7,0.44,0.46,0
syn-road-0299,secondary,1.7,6.2,225.9,0.82,5.2,0.51,0.95,1
syn-road-0300,secondary,11.69,26.4,230.2,0.62,16.7,0.54,0.57,0
syn-road-0301,primary,12.47,18.1,81.7,0.4,7.3,0.37,0.39,1
syn-road-0302,secondary,10.14,25.3,212.3,0.61,17.7,0.64,0.43,1
syn-road-0303,primary,9.13,18.2,193.8,0.53,16.2,0.93,0.52,0
syn-road-0304,arterial,1.0,2.3,141.5,0.53,-0.3,0.04,0.84,1
syn-road-0305,local,14.41,46.3,205.8,0.7,5.4,0.42,0.71,1
syn-road-0306,local,2.76,9.9,81.6,0.2,18.1,0.52,0.24,0
syn-road-0307,local,11.78,34.1,196.9,0.82,5.7,0.85,0.72,0
syn-road-0308,secondary,13.05,27.7,94.9,0.38,14.3,0.49,0.4,1
syn-road-0309,primary,12.03,21.6,228.5,0.67,15.8,0.9,0.48,1
syn-road-0310,arterial,14.23,16.4,198.8,0.3,19.1,0.31,0.34,0
syn-road-0311,secondary,2.4,5.0,187.7,0.49,13.8,0.72,0.52,1
syn-road-0312,primary,10.05,15.9,149.0,0.42,15.2,0.59,0.5,1
syn-road-0313,arterial,10.06,12.7,150.2,0.75,0.5,0.44,0.93,1
syn-road-0314,local,7.0,25.6,132.0,0.63,0.0,0.56,0.87,0
syn-road-0315,primary,9.76,16.9,75.3,0.19,18.3,0.33,0.16,0
syn-road-0316,local,9.4,32.4,68.2,0.73,0.8,0.87,0.7,1
syn-road-0317,local,6.88,21.5,182.4,0.33,18.6,0.06,0.4,0
syn-road-0318,arterial,11.28,13.2,167.1,0.36,19.5,0.55,0.37,0
syn-road-0319,local,12.98,41.4,178.7,0.45,19.2,0.7,0.42,1
syn-road-0320,arterial,12.06,14.8,126.9,0.58,13.2,0.81,0.41,1
syn-road-0321,secondary,4.54,9.7,182.8,0.55,4.6,0.12,0.89,1
syn-road-0322,primary,10.67,18.7,80.0,0.49,7.9,0.48,0.38,1
syn-road-0323,secondary,7.35,13.3,218.5,0.84,1.6,0.65,0.95,1
syn-road-0324,arterial,11.5,18.3,116.7,0.51,8.4,0.9,0.59,0
syn-road-0325,arterial,4.16,6.2,123.3,0.45,9.8,0.03,0.51,0
syn-road-0326,secondary,11.3,26.4,107.3,0.28,12.5,0.07,0.4,1
syn-road-0327,arterial,12.53,19.9,100.0,0.22,19.0,0.64,0.18,1
syn-road-0328,local,12.1,41.2,140.7,0.43,11.0,0.06,0.43,0
syn-road-0329,secondary,6.65,14.8,220.3,0.62,7.7,0.47,0.68,1
syn-road-0330,primary,3.29,8.4,224.6,0.53,14.4,0.17,0.61,1
syn-road-0331,local,10.04,33.4,107.8,0.5,11.3,0.72,0.4,0
syn-road-0332,local,5.01,16.5,222.6,0.37,16.4,0.22,0.56,1
syn-road-0333,local,0.54,1.0,233.3,0.79,3.5,0.44,0.96,1
syn-road-0334,primary,14.66,22.2,165.9,0.72,3.6,0.86,0.77,1
