segment_id,event_id,role,segment_length_meters,highway,valid_coverage_fraction,permanent_water_fraction,flood_fraction,inundated_length_meters,vv_delta_db,vh_delta_db,label,confidence,exclusion_reason
osm-104356359-9491482902-0,jakarta-20200101,train,30.169,trunk,1.0,0.0,0.0,0.0,0.365022,-0.672,negative,medium,
osm-104363249-4886801320-0,jakarta-20200101,train,25.737,primary,1.0,0.0,0.0,0.0,1.173521,0.802647,negative,medium,
osm-104364332-6359768001-0,jakarta-20200101,train,9.315,primary,1.0,0.0,0.0,0.0,0.026794,-2.559629,negative,medium,
osm-104364332-6359768003-0,jakarta-20200101,train,62.361,secondary,1.0,0.0,0.0,0.0,0.110494,-2.204984,negative,medium,
osm-104364334-318097259-0,jakarta-20200101,train,148.177,primary,1.0,0.0,0.0,0.0,0.675401,-0.869359,negative,medium,
osm-104364335-13623841217-0,jakarta-20200101,train,59.856,primary,1.0,0.0,0.0,0.0,-0.496493,-0.566378,negative,medium,
osm-104366006-8796979647-0,jakarta-20200101,train,143.704,secondary,1.0,0.0,0.0,0.0,-1.109899,-0.324803,negative,medium,
osm-104366013-191505885-0,jakarta-20200101,train,32.396,secondary,1.0,0.0,0.0,0.0,1.345737,0.598916,negative,medium,
osm-104367576-13720920968-0,jakarta-20200101,train,18.943,primary,1.0,0.0,0.0,0.0,0.866993,-1.224258,negative,medium,
osm-104367971-5006647254-0,jakarta-20200101,train,79.47,primary,1.0,0.0,0.0,0.0,0.459644,0.695183,negative,medium,
osm-104369586-8992056526-0,jakarta-20200101,train,15.028,primary,1.0,0.0,0.0,0.0,-0.645963,-1.777407,negative,medium,
osm-104379008-9619896326-0,jakarta-20200101,train,54.8,primary,1.0,0.0,0.0,0.0,-0.369382,-0.214196,negative,medium,
osm-104379010-13016877290-0,jakarta-20200101,train,41.885,primary,1.0,0.0,0.0,0.0,0.857217,-1.164426,negative,medium,
osm-104379014-4780597176-0,jakarta-20200101,train,32.664,primary,1.0,0.0,0.0,0.0,-0.825593,-3.723265,negative,medium,
osm-104379022-2872136862-0,jakarta-20200101,train,49.296,primary,1.0,0.0,0.0,0.0,0.071104,0.700538,negative,medium,
osm-104379024-5379957272-0,jakarta-20200101,train,62.452,primary,1.0,0.0,0.0,0.0,0.113501,0.119616,negative,medium,
osm-124093320-315207989-0,jakarta-20200101,train,21.639,primary,1.0,0.0,0.0,0.0,-0.59257,0.658796,negative,medium,
osm-186669834-13699094545-0,jakarta-20200101,train,14.091,primary,1.0,0.0,0.0,0.0,1.76567,0.281326,negative,medium,
osm-186849138-1663918523-0,jakarta-20200101,train,22.832,secondary,1.0,0.0,0.0,0.0,0.86802,-0.585376,negative,medium,
osm-186871952-5671317482-0,jakarta-20200101,train,55.089,primary,1.0,0.0,0.0,0.0,0.718337,0.781036,negative,medium,
osm-186871954-7249176145-0,jakarta-20200101,train,6.117,primary,1.0,0.0,0.0,0.0,2.31576,0.727356,negative,medium,
osm-186894208-104364334-0,jakarta-20200101,train,32.235,primary,1.0,0.0,0.0,0.0,0.524475,-0.433732,negative,medium,
osm-191505875-7595258503-0,jakarta-20200101,train,430.778,secondary,1.0,0.0,0.0,0.0,0.79369,0.592685,negative,medium,
osm-191505885-13717294231-0,jakarta-20200101,train,28.644,secondary,1.0,0.0,0.0,0.0,-0.39928,0.610055,negative,medium,
osm-191505992-5372018440-0,jakarta-20200101,train,7.15,secondary,1.0,0.0,0.0,0.0,-0.768221,0.169512,negative,medium,
osm-191506029-5009351128-0,jakarta-20200101,train,19.736,secondary,1.0,0.0,0.0,0.0,-0.201284,0.45008,negative,medium,
osm-191578995-8992744188-0,jakarta-20200101,train,58.713,primary,1.0,0.0,0.0,0.0,0.233947,0.638465,negative,medium,
osm-302230529-8789425687-0,jakarta-20200101,train,48.071,primary,1.0,0.0,0.0,0.0,0.709835,-1.16646,negative,medium,
osm-302230530-7509918738-0,jakarta-20200101,train,7.901,primary,1.0,0.0,0.0,0.0,0.433261,-1.072313,negative,medium,
osm-308981968-11925112167-0,jakarta-20200101,train,29.272,tertiary,1.0,0.0,0.0,0.0,0.32548,-1.135951,negative,medium,
osm-308981969-8488635421-0,jakarta-20200101,train,59.189,tertiary,1.0,0.0,0.0,0.0,1.673099,0.016422,negative,medium,
osm-308981972-13456437803-0,jakarta-20200101,train,34.965,tertiary,1.0,0.0,0.0,0.0,1.449376,1.088852,negative,medium,
osm-309086906-3723634710-0,jakarta-20200101,train,571.521,motorway,1.0,0.0,0.0,0.0,-1.055631,-0.510321,negative,medium,
osm-309687605-5388328959-0,jakarta-20200101,train,74.962,tertiary,1.0,0.0,0.0,0.0,0.263456,-1.21734,negative,medium,
osm-309712345-13102843717-0,jakarta-20200101,train,10.975,trunk,1.0,0.0,0.0,0.0,1.039973,-0.116334,negative,medium,
osm-309714207-388240367-0,jakarta-20200101,train,21.303,trunk,1.0,0.0,0.0,0.0,-1.154407,-1.044455,negative,medium,
osm-309716308-9465024317-0,jakarta-20200101,train,1362.48,motorway,1.0,0.0,0.0,0.0,-0.253991,-0.813359,negative,medium,
osm-309824120-309716308-0,jakarta-20200101,train,1179.967,motorway,1.0,0.0,0.0,0.0,0.621645,0.371448,negative,medium,
osm-309824174-5671045991-0,jakarta-20200101,train,1609.585,motorway,1.0,0.0,0.0,0.0,-0.230025,-0.570262,negative,medium,
osm-309825163-3723599608-0,jakarta-20200101,train,102.221,motorway,1.0,0.0,0.0,0.0,-0.960034,0.353751,negative,medium,
osm-309880841-6797982811-0,jakarta-20200101,train,225.811,motorway_link,1.0,0.0,0.0,0.0,-1.590526,-1.792094,negative,medium,
osm-309941624-8478023954-0,jakarta-20200101,train,121.379,primary,1.0,0.0,0.0,0.0,0.648856,0.076709,negative,medium,
osm-309941703-11919728419-0,jakarta-20200101,train,40.319,primary,1.0,0.0,0.0,0.0,0.351691,0.065747,negative,medium,
osm-309950695-4867479520-0,jakarta-20200101,train,28.181,primary,1.0,0.0,0.0,0.0,-1.866383,-0.744976,negative,medium,
osm-310003265-5379992807-0,jakarta-20200101,train,56.277,tertiary,1.0,0.0,0.0,0.0,1.138128,1.894726,negative,medium,
osm-310003828-352961150-0,jakarta-20200101,train,65.364,tertiary,1.0,0.0,0.0,0.0,1.174039,0.155319,negative,medium,
osm-310005821-8811305451-0,jakarta-20200101,train,81.047,primary,1.0,0.0,0.0,0.0,0.336753,-1.228667,negative,medium,
osm-310008087-317756351-0,jakarta-20200101,train,18.192,primary,1.0,0.0,0.0,0.0,0.551264,-0.984456,negative,medium,
osm-310042746-5377177693-0,jakarta-20200101,train,57.658,primary,1.0,0.0,0.0,0.0,0.786716,1.557909,negative,medium,
osm-310047835-9645211400-0,jakarta-20200101,train,14.041,trunk,1.0,0.0,0.0,0.0,-0.217214,0.927387,negative,medium,
osm-310048098-309825163-0,jakarta-20200101,train,1454.282,motorway,1.0,0.0,0.0,0.0,-0.011655,-0.645426,negative,medium,
osm-310048835-5023930574-0,jakarta-20200101,train,26.648,trunk,1.0,0.0,0.0,0.0,0.891293,-0.550381,negative,medium,
osm-310048835-6451500598-0,jakarta-20200101,train,16.273,primary,1.0,0.0,0.0,0.0,1.556606,-0.259585,negative,medium,
osm-310052525-1757800787-0,jakarta-20200101,train,850.286,motorway_link,1.0,0.0,0.0,0.0,0.030962,-0.565311,negative,medium,
osm-310080557-9648055038-0,jakarta-20200101,train,22.313,trunk,1.0,0.0,0.0,0.0,-0.385263,-0.046684,negative,medium,
osm-310327453-6978547983-0,jakarta-20200101,train,146.114,trunk,1.0,0.0,0.0,0.0,-0.440648,-0.777268,negative,medium,
osm-310327514-7576918586-0,jakarta-20200101,train,2484.015,motorway,1.0,0.0,0.000263,0.653,-0.073214,-0.592466,negative,medium,
osm-310327514-9498062303-0,jakarta-20200101,train,485.166,motorway_link,1.0,0.0,0.0,0.0,0.22679,-0.746012,negative,medium,
osm-315198778-13033996655-0,jakarta-20200101,train,10.33,primary,1.0,0.0,0.0,0.0,0.157764,-1.072245,negative,medium,
osm-315207989-5668256808-0,jakarta-20200101,train,24.165,primary,1.0,0.0,0.0,0.0,0.262447,0.997475,negative,medium,
osm-315207989-13525649841-0,jakarta-20200101,train,24.532,primary,1.0,0.0,0.0,0.0,0.163171,1.280183,negative,medium,
osm-315208899-324851729-0,jakarta-20200101,train,370.895,trunk,1.0,0.0,0.0,0.0,0.597819,-0.35463,negative,medium,
osm-315305416-13456804471-0,jakarta-20200101,train,2.211,tertiary,1.0,0.0,0.0,0.0,1.385954,-0.763345,negative,medium,
osm-315469600-9031322607-0,jakarta-20200101,train,15.741,primary,1.0,0.0,0.010062,0.158,-0.707235,-0.618202,negative,medium,
osm-315469626-9032054232-0,jakarta-20200101,train,18.29,primary,1.0,0.0,0.0,0.0,0.075451,-1.635755,negative,medium,
osm-315480467-9679167895-0,jakarta-20200101,train,17.675,primary,1.0,0.0,0.0,0.0,0.127511,-0.430739,negative,medium,
osm-315487156-5230379695-0,jakarta-20200101,train,76.703,primary,1.0,0.0,0.0,0.0,1.39528,0.188042,negative,medium,
osm-315546959-7098183581-0,jakarta-20200101,train,41.321,secondary,1.0,0.0,0.0,0.0,-0.346401,-0.812692,negative,medium,
osm-315547395-315546959-0,jakarta-20200101,train,37.491,secondary,1.0,0.0,0.0,0.0,-0.024861,-0.092569,negative,medium,
osm-315684305-4269900330-0,jakarta-20200101,train,30.862,secondary,1.0,0.0,0.0,0.0,0.992136,0.300898,negative,medium,
osm-315710860-29939156-0,jakarta-20200101,train,18.143,secondary,1.0,0.0,0.0,0.0,1.084066,-0.840975,negative,medium,
osm-315712058-315712135-0,jakarta-20200101,train,46.736,primary,1.0,0.0,0.0,0.0,4.761069,1.109442,negative,medium,
osm-315712135-13606177748-0,jakarta-20200101,train,81.37,primary,1.0,0.0,0.0,0.0,4.063949,2.425048,negative,medium,
osm-315712497-5354213822-0,jakarta-20200101,train,28.837,primary,1.0,0.0,0.0,0.0,0.566526,0.314064,negative,medium,
osm-315746130-13721019303-0,jakarta-20200101,train,18.228,primary,1.0,0.0,0.0,0.0,-0.260515,-0.45288,negative,medium,
osm-315746992-11199436896-0,jakarta-20200101,train,83.589,primary,1.0,0.0,0.0,0.0,-0.018032,-1.21812,negative,medium,
osm-316167893-9013032089-0,jakarta-20200101,train,48.198,residential,1.0,0.0,0.0,0.0,0.30346,-0.249482,negative,medium,
osm-316170709-329971830-0,jakarta-20200101,train,24.315,primary,1.0,0.0,0.0,0.0,0.956517,0.986498,negative,medium,
osm-316176020-310052525-0,jakarta-20200101,train,224.149,motorway_link,1.0,0.0,0.0,0.0,0.787725,-1.080343,negative,medium,
osm-316176020-1757800817-0,jakarta-20200101,train,311.158,motorway,1.0,0.0,0.0,0.0,0.440627,-1.029872,negative,medium,
osm-316266442-3723635058-0,jakarta-20200101,train,483.557,motorway_link,1.0,0.0,0.0,0.0,-0.434238,-0.633084,negative,medium,
osm-316374560-4990059009-0,jakarta-20200101,train,166.499,primary,1.0,0.0,0.0,0.0,0.667113,-0.14082,negative,medium,
osm-316374561-4548266741-0,jakarta-20200101,train,29.69,primary,1.0,0.0,0.0,0.0,-0.183099,-0.009122,negative,medium,
osm-316374585-4548266748-0,jakarta-20200101,train,116.963,primary,1.0,0.0,0.0,0.0,0.331974,-0.559496,negative,medium,
osm-316374594-430546287-0,jakarta-20200101,train,491.6,primary,1.0,0.0,0.0,0.0,0.394228,-0.292092,negative,medium,
osm-316374602-4836037554-0,jakarta-20200101,train,244.677,primary,1.0,0.0,0.0,0.0,-0.085022,-0.543104,negative,medium,
osm-316374654-316374658-0,jakarta-20200101,train,57.501,primary,1.0,0.0,0.0,0.0,0.132487,-1.231495,negative,medium,
osm-316374658-7120440781-0,jakarta-20200101,train,21.599,primary,1.0,0.0,0.0,0.0,-0.007697,-0.229535,negative,medium,
osm-316395244-4466384616-0,jakarta-20200101,train,24.288,trunk,1.0,0.0,0.0,0.0,-0.117138,-0.808438,negative,medium,
osm-316395244-4466384617-0,jakarta-20200101,train,42.353,trunk,1.0,0.0,0.0,0.0,-1.050682,-0.786437,negative,medium,
osm-316395267-316395268-0,jakarta-20200101,train,24.955,trunk,1.0,0.0,0.0,0.0,0.983692,0.80373,negative,medium,
osm-316395268-5388212558-0,jakarta-20200101,train,41.341,trunk,1.0,0.0,0.0,0.0,-0.292881,-0.219448,negative,medium,
osm-316412093-11329756328-0,jakarta-20200101,train,51.944,primary,1.0,0.0,0.0,0.0,-0.314337,-0.179077,negative,medium,
osm-316412129-316412130-0,jakarta-20200101,train,145.025,primary,1.0,0.0,0.0,0.0,0.168694,0.771026,negative,medium,
osm-316412130-6531806778-0,jakarta-20200101,train,101.513,primary,1.0,0.0,0.0,0.0,0.006786,-0.351821,negative,medium,
osm-316412131-316412145-0,jakarta-20200101,train,13.489,primary,1.0,0.0,0.0,0.0,0.246449,-0.21573,negative,medium,
osm-316412145-4504091329-0,jakarta-20200101,train,124.609,primary,1.0,0.0,0.0,0.0,0.741938,0.139021,negative,medium,
osm-316412146-1320273025-0,jakarta-20200101,train,13.135,primary,1.0,0.0,0.0,0.0,1.208069,-2.191984,negative,medium,
osm-316486226-1782804903-0,jakarta-20200101,train,1345.635,motorway,1.0,0.0,0.0,0.0,0.95736,0.577669,negative,medium,
osm-316486288-7120831201-0,jakarta-20200101,train,8.413,trunk,1.0,0.0,0.0,0.0,1.091612,-0.843361,negative,medium,
osm-316486305-1139156749-0,jakarta-20200101,train,41.19,trunk_link,1.0,0.0,0.0,0.0,-1.61174,-1.635321,negative,medium,
osm-316742986-329948880-0,jakarta-20200101,train,596.589,trunk,1.0,0.0,0.0,0.0,0.275625,-0.005651,negative,medium,
osm-317156534-9507227664-0,jakarta-20200101,train,27.825,primary,1.0,0.0,0.0,0.0,-1.493941,0.172694,negative,medium,
osm-317156584-11384905237-0,jakarta-20200101,train,303.728,primary,1.0,0.0,0.0,0.0,0.820644,1.055782,negative,medium,
osm-317156628-5653336499-0,jakarta-20200101,train,33.045,primary,1.0,0.0,0.0,0.0,-0.082425,-0.078215,negative,medium,
osm-317156630-9027876825-0,jakarta-20200101,train,4.398,primary,1.0,0.0,0.0,0.0,0.583079,0.320452,negative,medium,
osm-317156632-317156630-0,jakarta-20200101,train,72.996,primary,1.0,0.0,0.0,0.0,0.919452,0.248233,negative,medium,
osm-317156649-317182651-0,jakarta-20200101,train,617.237,primary,1.0,0.0,0.0,0.0,0.553783,-0.011959,negative,medium,
osm-317157768-4871938615-0,jakarta-20200101,train,155.083,primary,1.0,0.0,0.0,0.0,-0.255933,-1.219534,negative,medium,
osm-317179522-5189841649-0,jakarta-20200101,train,22.616,tertiary,1.0,0.0,0.0,0.0,-0.596755,-0.883576,negative,medium,
osm-317180499-10092530702-0,jakarta-20200101,train,15.193,primary,1.0,0.0,0.0,0.0,2.64359,0.634512,negative,medium,
osm-317182284-317156632-0,jakarta-20200101,train,631.093,primary,1.0,0.0,0.0,0.0,0.500375,-0.197579,negative,medium,
osm-317182368-13618074118-0,jakarta-20200101,train,121.807,primary,1.0,0.0,0.0,0.0,0.502873,0.025419,negative,medium,
osm-317182380-5380240433-0,jakarta-20200101,train,257.117,primary,1.0,0.0,0.0,0.0,1.017082,0.58706,negative,medium,
osm-317182651-317182380-0,jakarta-20200101,train,87.992,primary,1.0,0.0,0.0,0.0,0.796999,-0.606301,negative,medium,
osm-317190987-352913852-0,jakarta-20200101,train,89.246,primary,1.0,0.0,0.0,0.0,-0.257163,0.123318,negative,medium,
osm-317190987-6370527439-0,jakarta-20200101,train,821.503,primary,1.0,0.0,0.0,0.0,0.499138,0.35346,negative,medium,
osm-317191266-317191321-0,jakarta-20200101,train,41.251,primary_link,1.0,0.0,0.0,0.0,2.029901,-0.147738,negative,medium,
osm-317191321-13771612756-0,jakarta-20200101,train,62.436,primary,1.0,0.0,0.0,0.0,0.958885,-0.746658,negative,medium,
osm-317193936-9515510319-0,jakarta-20200101,train,177.912,primary,1.0,0.0,0.0,0.0,-0.315751,0.080592,negative,medium,
osm-317196043-7029563618-0,jakarta-20200101,train,202.602,primary,1.0,0.0,0.0,0.0,0.027016,0.992505,negative,medium,
osm-317349873-5379667478-0,jakarta-20200101,train,34.714,trunk,1.0,0.0,0.0,0.0,0.363456,-0.769861,negative,medium,
osm-317349914-5379667437-0,jakarta-20200101,train,101.748,trunk,1.0,0.0,0.0,0.0,-0.344057,-1.662563,negative,medium,
osm-317417610-4948526884-0,jakarta-20200101,train,251.54,primary,1.0,0.0,0.0,0.0,0.030821,-0.002898,negative,medium,
osm-317417833-9491424126-0,jakarta-20200101,train,63.573,trunk,1.0,0.0,0.0,0.0,1.202191,1.144268,negative,medium,
osm-317756351-13653320894-0,jakarta-20200101,train,89.597,primary,1.0,0.0,0.0,0.0,-0.431155,0.083736,negative,medium,
osm-317958545-7120310389-0,jakarta-20200101,train,35.796,primary,1.0,0.0,0.0,0.0,0.700754,1.005795,negative,medium,
osm-317987901-317958545-0,jakarta-20200101,train,393.501,primary,1.0,0.0,0.0,0.0,0.475787,-0.120721,negative,medium,
osm-318097237-13623874475-0,jakarta-20200101,train,9.024,primary,1.0,0.0,0.0,0.0,0.079828,1.787253,negative,medium,
osm-318097259-13624041399-0,jakarta-20200101,train,65.219,primary,1.0,0.0,0.0,0.0,1.96569,0.142678,negative,medium,
osm-318168808-316167893-0,jakarta-20200101,train,19.826,secondary,1.0,0.0,0.0,0.0,-0.005617,-0.858218,negative,medium,
osm-318538221-29939148-0,jakarta-20200101,train,10.99,secondary,1.0,0.0,0.0,0.0,0.014442,-0.093562,negative,medium,
osm-318538221-5374199556-0,jakarta-20200101,train,9.456,secondary,1.0,0.0,0.0,0.0,-0.141375,-0.262014,negative,medium,
osm-318548947-8499454046-0,jakarta-20200101,train,118.46,secondary,1.0,0.0,0.0,0.0,-0.304263,0.418859,negative,medium,
osm-320021668-4800795887-0,jakarta-20200101,train,52.481,primary,1.0,0.0,0.0,0.0,0.033881,0.534803,negative,medium,
osm-321722198-317156649-0,jakarta-20200101,train,77.731,primary,1.0,0.0,0.0,0.0,0.670154,0.058589,negative,medium,
osm-324275961-316395267-0,jakarta-20200101,train,150.453,trunk,1.0,0.0,0.0,0.0,1.698636,0.397279,negative,medium,
osm-324276002-5665581665-0,jakarta-20200101,train,517.952,trunk,1.0,0.0,0.0,0.0,0.599716,-0.203935,negative,medium,
osm-324851729-5673864834-0,jakarta-20200101,train,36.502,trunk,1.0,0.0,0.0,0.0,0.830964,-0.506572,negative,medium,
osm-326484049-5490135579-0,jakarta-20200101,train,127.681,primary,1.0,0.0,0.0,0.0,0.327276,0.701695,negative,medium,
osm-326484130-8749112680-0,jakarta-20200101,train,10.024,primary,1.0,0.0,0.0,0.0,-0.126054,0.146329,negative,medium,
osm-326484153-326484130-0,jakarta-20200101,train,77.099,primary,1.0,0.0,0.0,0.0,0.2626,-0.307914,negative,medium,
osm-326484165-326484153-0,jakarta-20200101,train,14.589,primary,1.0,0.0,0.0,0.0,0.495501,0.335607,negative,medium,
osm-326484242-1709500939-0,jakarta-20200101,train,95.713,primary,1.0,0.0,0.0,0.0,-0.2235,-0.622748,negative,medium,
osm-326484330-4842902746-0,jakarta-20200101,train,184.882,primary,1.0,0.0,0.0,0.0,0.020659,-0.04375,negative,medium,
osm-326484370-7046982976-0,jakarta-20200101,train,21.074,primary,1.0,0.0,0.0,0.0,0.427806,-0.905681,negative,medium,
osm-328320081-1423006391-0,jakarta-20200101,train,226.433,trunk,1.0,0.0,0.0,0.0,0.653988,0.010214,negative,medium,
osm-328320159-5662546639-0,jakarta-20200101,train,223.077,primary,1.0,0.0,0.0,0.0,0.562872,0.019196,negative,medium,
osm-328336623-5459161492-0,jakarta-20200101,train,341.85,trunk,1.0,0.0,0.0,0.0,0.688343,0.262822,negative,medium,
osm-328876219-9013840120-0,jakarta-20200101,train,43.064,primary,1.0,0.0,0.0,0.0,1.263096,-0.655166,negative,medium,
osm-328965954-316374561-0,jakarta-20200101,train,31.338,primary,1.0,0.0,0.0,0.0,-0.153249,0.693505,negative,medium,
osm-329019268-6219014696-0,jakarta-20200101,train,10.145,primary,1.0,0.0,0.0,0.0,0.503489,-0.205513,negative,medium,
osm-329019970-9013891783-0,jakarta-20200101,train,136.128,primary,1.0,0.0,0.0,0.0,-0.269365,-0.487737,negative,medium,
osm-329948880-316266442-0,jakarta-20200101,train,11.718,trunk,1.0,0.0,0.0,0.0,0.829489,0.368706,negative,medium,
osm-329967924-4751894442-0,jakarta-20200101,train,13.396,primary,1.0,0.0,0.0,0.0,-1.105592,-0.920294,negative,medium,
osm-329968512-1682808537-0,jakarta-20200101,train,162.391,primary,1.0,0.0,0.0,0.0,-0.439258,-0.271998,negative,medium,
osm-329969014-5662335002-0,jakarta-20200101,train,90.047,primary,1.0,0.0,0.0,0.0,-0.422556,-1.676963,negative,medium,
osm-329971830-4749962821-0,jakarta-20200101,train,206.905,primary,1.0,0.0,0.0,0.0,1.051146,-0.01561,negative,medium,
osm-329975504-5662309002-0,jakarta-20200101,train,219.725,primary,1.0,0.0,0.0,0.0,0.240265,-0.094416,negative,medium,
osm-329975510-7131701881-0,jakarta-20200101,train,17.922,primary,1.0,0.0,0.0,0.0,0.446012,1.110202,negative,medium,
osm-330177825-5380113845-0,jakarta-20200101,train,57.075,primary,1.0,0.0,0.0,0.0,-0.052014,0.529988,negative,medium,
osm-330409714-7232143502-0,jakarta-20200101,train,675.739,service,1.0,0.0,0.0,0.0,1.552863,0.57597,negative,medium,
osm-332341344-5506920631-0,jakarta-20200101,train,30.273,residential,1.0,0.0,0.0,0.0,1.473269,0.072577,negative,medium,
osm-332517701-5671006775-0,jakarta-20200101,train,72.44,trunk,1.0,0.0,0.0,0.0,-0.148304,-0.341213,negative,medium,
osm-332526386-316176020-0,jakarta-20200101,train,2802.024,motorway,1.0,0.0,0.0,0.0,0.54849,-0.241157,negative,medium,
osm-332526397-332526399-0,jakarta-20200101,train,41.86,primary_link,1.0,0.0,0.0,0.0,-1.096616,-0.478019,negative,medium,
osm-332526399-4551163746-0,jakarta-20200101,train,71.584,primary,1.0,0.0,0.0,0.0,1.362934,-0.381786,negative,medium,
osm-347509493-191505875-0,jakarta-20200101,train,6.128,secondary,1.0,0.0,0.0,0.0,0.233511,0.925125,negative,medium,
osm-351116570-393856976-0,jakarta-20200101,train,45.065,secondary,1.0,0.0,0.0,0.0,1.039743,0.016404,negative,medium,
osm-352897075-352897081-0,jakarta-20200101,train,50.774,primary,1.0,0.0,0.0,0.0,-0.490124,0.36039,negative,medium,
osm-352897081-9561821845-0,jakarta-20200101,train,18.529,primary,1.0,0.0,0.0,0.0,-1.143985,-2.224176,negative,medium,
osm-352897085-13772607350-0,jakarta-20200101,train,85.347,primary,1.0,0.0,0.0,0.0,0.206248,-0.570348,negative,medium,
osm-352913456-8772028147-0,jakarta-20200101,train,58.448,primary,1.0,0.0,0.0,0.0,0.492007,-0.079291,negative,medium,
osm-352913852-317191266-0,jakarta-20200101,train,161.341,primary,1.0,0.0,0.0,0.0,0.085897,-0.250707,negative,medium,
osm-352915237-4776087446-0,jakarta-20200101,train,45.8,primary,1.0,0.0,0.0,0.0,0.380378,-0.535292,negative,medium,
osm-352961150-9016841536-0,jakarta-20200101,train,41.376,tertiary,1.0,0.0,0.0,0.0,0.992402,0.128954,negative,medium,
osm-353136203-13456492331-0,jakarta-20200101,train,47.47,primary,1.0,0.0,0.0,0.0,-0.172598,1.347631,negative,medium,
osm-388023277-5670939322-0,jakarta-20200101,train,45.472,trunk,1.0,0.0,0.0,0.0,-0.012579,-1.029246,negative,medium,
osm-388240366-6546950357-0,jakarta-20200101,train,127.261,trunk,1.0,0.0,0.0,0.0,0.027539,-1.458572,negative,medium,
osm-388240367-388240366-0,jakarta-20200101,train,150.245,trunk,1.0,0.0,0.0,0.0,0.115076,-1.054052,negative,medium,
osm-393856973-6322395865-0,jakarta-20200101,train,16.736,secondary,1.0,0.0,0.0,0.0,0.265576,1.093148,negative,medium,
osm-393856974-10732635788-0,jakarta-20200101,train,29.015,secondary,1.0,0.0,0.0,0.0,0.927487,1.570809,negative,medium,
osm-393856976-3709514014-0,jakarta-20200101,train,53.276,secondary,1.0,0.0,0.0,0.0,0.584986,-0.451101,negative,medium,
osm-393861915-6322396585-0,jakarta-20200101,train,20.989,secondary,1.0,0.0,0.0,0.0,-0.156092,0.85262,negative,medium,
osm-430546287-12736661061-0,jakarta-20200101,train,69.246,primary,1.0,0.0,0.0,0.0,0.161382,-1.447595,negative,medium,
osm-430546294-430546307-0,jakarta-20200101,train,20.054,secondary,1.0,0.0,0.0,0.0,0.844885,-0.975189,negative,medium,
osm-430546307-430546319-0,jakarta-20200101,train,18.659,secondary,1.0,0.0,0.0,0.0,0.385193,-0.781521,negative,medium,
osm-430546319-12754553920-0,jakarta-20200101,train,26.941,secondary,1.0,0.0,0.0,0.0,-0.057503,-0.596308,negative,medium,
