segment_id,event_id,event_start,event_end,event_context,event_context_confidence,segment_length_meters,road_name,highway,osm_way_ids,u,v,key,buffer_radius_meters,minimum_clear_fraction,positive_exposure_fraction,source_resolution_class,corridor_area_square_meters,source_coverage_fraction,valid_observation_fraction,permanent_water_fraction,flood_exposed_fraction,flood_exposed_length_equivalent_meters,label,confidence,exclusion_reason
osm-104363249-4886801320-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,25.737,Jalan Kebon Sirih,primary,497048630|755135606,104363249,4886801320,0,250,0.75,0.05,coarse-modis-250m,208952.604,0.962871,0.962871,0.0,0.0,0.0,negative,moderate,
osm-104364332-6359768001-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,9.315,Jalan Kyai Caringin,primary,530465210,104364332,6359768001,0,250,0.75,0.05,coarse-modis-250m,200738.788,0.962331,0.962331,0.0,0.0,0.0,negative,moderate,
osm-104364332-6359768003-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,62.361,Jalan Biak,secondary,679178011,104364332,6359768003,0,250,0.75,0.05,coarse-modis-250m,227272.507,0.965648,0.965648,0.0,0.0,0.0,negative,moderate,
osm-104364334-318097259-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,148.177,Jalan Balikpapan Raya,primary,1502540546|761801757|28706686,104364334,318097259,0,250,0.75,0.05,coarse-modis-250m,270211.026,0.970354,0.970354,0.0,0.0,0.0,negative,moderate,
osm-104364335-13623841217-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,59.856,Jalan Suryopranoto,primary,1116757145|1502544631,104364335,13623841217,0,250,0.75,0.05,coarse-modis-250m,226025.006,0.965473,0.965473,0.0,0.0,0.0,negative,moderate,
osm-104366006-8796979647-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,143.704,Jalan Insinyur Haji Juanda,secondary,696175331,104366006,8796979647,0,250,0.75,0.05,coarse-modis-250m,267974.509,0.970355,0.970355,0.0,0.0,0.0,negative,moderate,
osm-104366013-191505885-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,32.396,Jalan Insinyur Haji Juanda,secondary,762042490,104366013,191505885,0,250,0.75,0.05,coarse-modis-250m,212286.506,0.963473,0.963473,0.0,0.0,0.0,negative,moderate,
osm-104367576-13720920968-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,18.943,Jalan Pasar Senen,primary,779815862,104367576,13720920968,0,250,0.75,0.05,coarse-modis-250m,205555.409,0.962468,0.962468,0.0,0.0,0.0,negative,moderate,
osm-104367971-5006647254-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,79.47,Jalan Letnan Jenderal Suprapto,primary,1179916176|724007426|560887461|1156825607,104367971,5006647254,0,250,0.75,0.05,coarse-modis-250m,235831.18,0.966613,0.966613,0.0,0.0,0.0,negative,moderate,
osm-104369586-8992056526-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,15.028,Jalan Kramat Kwitang,primary,28216524,104369586,8992056526,0,250,0.75,0.05,coarse-modis-250m,203596.782,0.962005,0.962005,0.0,0.0,0.0,negative,moderate,
osm-104379008-9619896326-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,54.8,Jalan Jatinegara Timur,primary,11671655,104379008,9619896326,0,250,0.75,0.05,coarse-modis-250m,223495.541,0.965016,0.965016,0.0,0.0,0.0,negative,moderate,
osm-104379010-13016877290-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,41.885,Jalan Jatinegara Timur,primary,11671655,104379010,13016877290,0,250,0.75,0.05,coarse-modis-250m,217034.005,0.964129,0.964129,0.0,0.0,0.0,negative,moderate,
osm-104379014-4780597176-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,32.664,Jalan Otto Iskandar Dinata,primary,691253235,104379014,4780597176,0,250,0.75,0.05,coarse-modis-250m,212413.398,0.963518,0.963518,0.0,0.0,0.0,negative,moderate,
osm-104379022-2872136862-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,49.296,Jalan Otto Iskandar Dinata,primary,28765421,104379022,2872136862,0,250,0.75,0.05,coarse-modis-250m,220741.749,0.964684,0.964684,0.0,0.0,0.0,negative,moderate,
osm-104379024-5379957272-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,62.452,Jalan Otto Iskandar Dinata,primary,28765421,104379024,5379957272,0,250,0.75,0.05,coarse-modis-250m,227323.864,0.965712,0.965712,0.0,0.0,0.0,negative,moderate,
osm-10599212863-4746451656-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,11.797,Jalan Cipinang Indah 2,tertiary,765866693,10599212863,4746451656,0,250,0.75,0.05,coarse-modis-250m,201432.479,0.969,0.969,0.0,0.0,0.0,negative,moderate,
osm-10654460939-6430186685-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,26.025,Unnamed OSM road,secondary_link,1144693057,10654460939,6430186685,0,250,0.75,0.05,coarse-modis-250m,208858.47,0.965456,0.965456,0.0,0.0,0.0,negative,moderate,
osm-10732635788-6322395881-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,42.092,Jalan Pangeran Jayakarta,secondary,1281346440,10732635788,6322395881,0,250,0.75,0.05,coarse-modis-250m,217137.23,0.964168,0.964168,0.0,0.0,0.0,negative,moderate,
osm-10758010539-7120410546-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,20.467,Jalan Gunung Sahari Raya,primary,711241492,10758010539,7120410546,0,250,0.75,0.05,coarse-modis-250m,206317.83,0.962585,0.962585,0.0,0.0,0.0,negative,moderate,
osm-10788400699-317349873-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,13.315,Jalan Yos Sudarso,trunk,496592226,10788400699,317349873,0,250,0.75,0.05,coarse-modis-250m,202739.969,0.961986,0.961986,0.0,0.0,0.0,negative,moderate,
osm-11039838816-6332686273-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,686.312,Jalan Jatinegara Timur,primary,229358585|28765425|191377542|691270311,11039838816,6332686273,0,250,0.75,0.05,coarse-modis-250m,539035.458,0.982934,0.982934,0.0,0.0,0.0,negative,moderate,
osm-11052325987-7026798812-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,55.865,Jalan Inspeksi Tarum Barat,primary,751672117,11052325987,7026798812,0,250,0.75,0.05,coarse-modis-250m,224017.244,0.965474,0.965474,0.0,0.0,0.0,negative,moderate,
osm-11076463250-13108442428-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,94.616,Jalan Kramat Kwitang,primary,766126376|766126375,11076463250,13108442428,0,250,0.75,0.05,coarse-modis-250m,243410.911,0.967629,0.967629,0.0,0.0,0.0,negative,moderate,
osm-11166256394-5549685553-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,30.143,Jalan Pangeran Jayakarta,secondary,1204814108,11166256394,5549685553,0,250,0.75,0.05,coarse-modis-250m,211158.943,0.963312,0.963312,0.0,0.0,0.0,negative,moderate,
osm-11199436896-104367576-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,125.186,Jalan Gunung Sahari Raya,primary,631760994|711241491,11199436896,104367576,0,250,0.75,0.05,coarse-modis-250m,258710.577,0.969207,0.969207,0.0,0.0,0.0,negative,moderate,
osm-11237483569-7120502855-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,33.265,Jalan Kramat Raya,primary,758051339,11237483569,7120502855,0,250,0.75,0.05,coarse-modis-250m,212721.096,0.963568,0.963568,0.0,0.0,0.0,negative,moderate,
osm-11237483572-11237483569-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,27.168,Jalan Kramat Raya,primary,758051339,11237483572,11237483569,0,250,0.75,0.05,coarse-modis-250m,209670.501,0.963207,0.963207,0.0,0.0,0.0,negative,moderate,
osm-11246996071-5374282375-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,2.467,Jalan Pasar Senen,primary,11671364,11246996071,5374282375,0,250,0.75,0.05,coarse-modis-250m,197312.531,0.961066,0.961066,0.0,0.0,0.0,negative,moderate,
osm-11299364776-5421851682-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,146.656,Jalan Bekasi Raya,trunk,764298933,11299364776,5421851682,0,250,0.75,0.05,coarse-modis-250m,269452.417,0.970166,0.970166,0.0,0.0,0.0,negative,moderate,
osm-11299364777-11299364778-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,56.232,Jalan Bekasi Raya,trunk,764298933,11299364777,11299364778,0,250,0.75,0.05,coarse-modis-250m,224211.738,0.965065,0.965065,0.0,0.0,0.0,negative,moderate,
osm-11299364778-11299364776-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,67.274,Jalan Bekasi Raya,trunk,764298933,11299364778,11299364776,0,250,0.75,0.05,coarse-modis-250m,229736.467,0.965907,0.965907,0.0,0.0,0.0,negative,moderate,
osm-11299364779-11299364777-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,82.112,Jalan Bekasi Raya,trunk,764298933,11299364779,11299364777,0,250,0.75,0.05,coarse-modis-250m,237160.001,0.966878,0.966878,0.0,0.0,0.0,negative,moderate,
osm-11329756328-7226592293-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,13.655,Jalan Pemuda,primary,763467199,11329756328,7226592293,0,250,0.75,0.05,coarse-modis-250m,202909.997,0.961993,0.961993,0.0,0.0,0.0,negative,moderate,
osm-1133343792-1133343793-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,99.546,Jalan Cipinang Cempedak,residential,487580431,1133343792,1133343793,0,250,0.75,0.05,coarse-modis-250m,245881.219,0.967868,0.967868,0.0,0.0,0.0,negative,moderate,
osm-1133343793-1135179313-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,85.151,Jalan Cipinang Cempedak III,tertiary,591927661,1133343793,1135179313,0,250,0.75,0.05,coarse-modis-250m,238680.454,0.967015,0.967015,0.0,0.0,0.0,negative,moderate,
osm-1133343805-1133343793-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,172.743,Jalan Cipinang Cempedak IV,tertiary,1113173339,1133343805,1133343793,0,250,0.75,0.05,coarse-modis-250m,282502.837,0.971385,0.971385,0.0,0.0,0.0,negative,moderate,
osm-1133676103-1334087929-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,384.195,Jalan Jenderal Basuki Rahmat,primary,28851254,1133676103,1334087929,0,250,0.75,0.05,coarse-modis-250m,388177.333,0.978119,0.978119,0.0,0.0,0.0,negative,moderate,
osm-1133676112-1133676103-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,248.128,Jalan Jenderal Basuki Rahmat,primary,493859848|1323082163|28851254,1133676112,1133676103,0,250,0.75,0.05,coarse-modis-250m,320143.166,0.974137,0.974137,0.0,0.0,0.0,negative,moderate,
osm-1133676115-1133676116-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,47.632,Jalan Cipinang Indah 2,tertiary,737509446,1133676115,1133676116,0,250,0.75,0.05,coarse-modis-250m,219909.306,0.964567,0.964567,0.0,0.0,0.0,negative,moderate,
osm-1133676116-5391402284-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,53.512,Jalan Cipinang Indah Raya,tertiary,737508241|574359955|491550931|686615431,1133676116,5391402284,0,250,0.75,0.05,coarse-modis-250m,222836.125,0.965083,0.965083,0.0,0.0,0.0,negative,moderate,
osm-1133676128-1133807077-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,36.097,Jalan Cipinang Indah Raya,tertiary,737508241,1133676128,1133807077,0,250,0.75,0.05,coarse-modis-250m,214137.494,0.963722,0.963722,0.0,0.0,0.0,negative,moderate,
osm-1133806969-1133807093-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,94.177,Jalan Cipinang Indah I,tertiary,1238777272,1133806969,1133807093,0,250,0.75,0.05,coarse-modis-250m,243146.812,0.968122,0.968122,0.0,0.0,0.0,negative,moderate,
osm-1133806993-11455806150-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,64.336,Jalan Cipinang Indah I,tertiary,1238777272,1133806993,11455806150,0,250,0.75,0.05,coarse-modis-250m,228266.349,0.965943,0.965943,0.0,0.0,0.0,negative,moderate,
osm-1133807009-1133806993-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,10.179,Jalan Cipinang Indah Raya,tertiary,1288931176,1133807009,1133806993,0,250,0.75,0.05,coarse-modis-250m,201170.734,0.961349,0.961349,0.0,0.0,0.0,negative,moderate,
osm-1133807034-1133806969-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,194.546,Jalan Cipinang Indah I,tertiary,1238777272,1133807034,1133806969,0,250,0.75,0.05,coarse-modis-250m,293408.206,0.97234,0.97234,0.0,0.0,0.0,negative,moderate,
osm-1133807052-1133676128-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,35.901,Jalan Cipinang Indah Raya,tertiary,737508241,1133807052,1133676128,0,250,0.75,0.05,coarse-modis-250m,214032.242,0.96488,0.96488,0.0,0.0,0.0,negative,moderate,
osm-1133807065-1133807009-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,50.706,Jalan Cipinang Indah Raya,tertiary,737508241,1133807065,1133807009,0,250,0.75,0.05,coarse-modis-250m,221446.869,0.964808,0.964808,0.0,0.0,0.0,negative,moderate,
osm-1133807077-9642343610-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,8.108,Jalan Cipinang Indah Raya,tertiary,737508241,1133807077,9642343610,0,250,0.75,0.05,coarse-modis-250m,200134.542,0.961538,0.961538,0.0,0.0,0.0,negative,moderate,
osm-1133807089-1133807052-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,41.379,Jalan Cipinang Indah Raya,tertiary,737508241,1133807089,1133807052,0,250,0.75,0.05,coarse-modis-250m,216780.823,0.964207,0.964207,0.0,0.0,0.0,negative,moderate,
osm-1133807093-5513424002-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,42.756,Jalan Cipinang Indah I,tertiary,1238777272|1238777273|98075001,1133807093,5513424002,0,250,0.75,0.05,coarse-modis-250m,217468.337,0.964614,0.964614,0.0,0.0,0.0,negative,moderate,
osm-1134908642-5010888460-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,102.85,Jalan Laksamana Malahayati,primary,754986923,1134908642,5010888460,0,250,0.75,0.05,coarse-modis-250m,247535.548,0.968371,0.968371,0.0,0.0,0.0,negative,moderate,
osm-1134953472-1133676115-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,126.898,Jalan Cipinang Indah 2,tertiary,737509446,1134953472,1133676115,0,250,0.75,0.05,coarse-modis-250m,259548.293,0.969225,0.969225,0.0,0.0,0.0,negative,moderate,
osm-11350075105-5372018448-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,37.739,Jalan Insinyur Haji Juanda,secondary,696175332,11350075105,5372018448,0,250,0.75,0.05,coarse-modis-250m,214959.623,0.963964,0.963964,0.0,0.0,0.0,negative,moderate,
osm-1135179313-1135179348-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,96.954,Jalan Cipinang Cempedak II,tertiary,98090598,1135179313,1135179348,0,250,0.75,0.05,coarse-modis-250m,244585.265,0.967498,0.967498,0.0,0.0,0.0,negative,moderate,
osm-1135179348-4666246417-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,9.529,Jalan Cipinang Cempedak II,tertiary,98090598,1135179348,4666246417,0,250,0.75,0.05,coarse-modis-250m,200845.742,0.96182,0.96182,0.0,0.0,0.0,negative,moderate,
osm-1135179379-7229469661-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,37.61,Jalan Cipinang Cempedak,tertiary,484862899,1135179379,7229469661,0,250,0.75,0.05,coarse-modis-250m,214895.163,0.963837,0.963837,0.0,0.0,0.0,negative,moderate,
osm-1135179404-4800316713-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,81.572,Jalan Cipinang Cempedak I,tertiary,98090600,1135179404,4800316713,0,250,0.75,0.05,coarse-modis-250m,235240.593,0.967898,0.967898,0.0,0.0,0.0,negative,moderate,
osm-1135179421-13734886245-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,6.239,Jalan Cipinang Cempedak I,tertiary,688635243,1135179421,13734886245,0,250,0.75,0.05,coarse-modis-250m,199199.441,0.961373,0.961373,0.0,0.0,0.0,negative,moderate,
osm-1135179424-13914133217-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,5.251,Jalan Cipinang Cempedak I,tertiary,688635244,1135179424,13914133217,0,250,0.75,0.05,coarse-modis-250m,198705.191,0.961204,0.961204,0.0,0.0,0.0,negative,moderate,
osm-1135190117-1138828395-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,226.26,Jalan D. I. Panjaitan,trunk,98454555|1289409516,1135190117,1138828395,0,250,0.75,0.05,coarse-modis-250m,309256.857,0.973381,0.973381,0.0,0.0,0.0,negative,moderate,
osm-1135601912-5498027349-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,33.226,Jalan Kalimalang,primary,98087417,1135601912,5498027349,0,250,0.75,0.05,coarse-modis-250m,212701.596,0.963758,0.963758,0.0,0.0,0.0,negative,moderate,
osm-11384905237-4507955830-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,25.857,Jalan Profesor Doktor Satrio,primary,685550351,11384905237,4507955830,0,250,0.75,0.05,coarse-modis-250m,209014.635,0.73529,0.73529,0.0,0.0,0.0,unknown,excluded,insufficient_source_coverage
osm-1138828395-316486288-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,148.942,Jalan D. I. Panjaitan,trunk,1331515352|1331515351,1138828395,316486288,0,250,0.75,0.05,coarse-modis-250m,270595.407,0.970399,0.970399,0.0,0.0,0.0,negative,moderate,
osm-11388847775-6801763173-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,27.799,Unnamed OSM road,service,776122194,11388847775,6801763173,0,250,0.75,0.05,coarse-modis-250m,209939.093,0.967107,0.967107,0.0,0.0,0.0,negative,moderate,
osm-11388847776-11388847775-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,61.184,Unnamed OSM road,service,776122194,11388847776,11388847775,0,250,0.75,0.05,coarse-modis-250m,226689.416,0.965521,0.965521,0.0,0.0,0.0,negative,moderate,
osm-1139139728-7260196327-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,52.205,Jalan Letnan Jenderal MT Haryono,trunk,1235335428,1139139728,7260196327,0,250,0.75,0.05,coarse-modis-250m,222190.655,0.964993,0.964993,0.0,0.0,0.0,negative,moderate,
osm-1139139742-7260204106-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,20.07,Jalan Letnan Jenderal MT Haryono,trunk,749966273,1139139742,7260204106,0,250,0.75,0.05,coarse-modis-250m,206119.435,0.962432,0.962432,0.0,0.0,0.0,negative,moderate,
osm-1139140184-95006360-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,29.076,Jalan Letnan Jenderal MT Haryono,trunk,749966273,1139140184,95006360,0,250,0.75,0.05,coarse-modis-250m,210625.086,0.963192,0.963192,0.0,0.0,0.0,negative,moderate,
osm-1139156749-5492419221-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,64.158,Jalan Letnan Jenderal MT Haryono,trunk,760233040,1139156749,5492419221,0,250,0.75,0.05,coarse-modis-250m,228172.002,0.965693,0.965693,0.0,0.0,0.0,negative,moderate,
osm-11395329908-5680696059-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,32.74,Jalan Kramat Kwitang,primary,458897450|458897451,11395329908,5680696059,0,250,0.75,0.05,coarse-modis-250m,212458.07,0.963413,0.963413,0.0,0.0,0.0,negative,moderate,
osm-11399827589-4848734475-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,89.734,Jalan Letnan Jenderal MT Haryono,trunk,98454566,11399827589,4848734475,0,250,0.75,0.05,coarse-modis-250m,240972.687,0.967456,0.967456,0.0,0.0,0.0,negative,moderate,
osm-11413710169-5380113830-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,3.151,Jalan Pemuda,primary,975979296,11413710169,5380113830,0,250,0.75,0.05,coarse-modis-250m,197654.462,0.961029,0.961029,0.0,0.0,0.0,negative,moderate,
osm-11438846310-12599546837-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,53.877,Jalan Letnan Jenderal Siswondo Parman,trunk,1220173370,11438846310,12599546837,0,250,0.75,0.05,coarse-modis-250m,223033.549,0.964998,0.964998,0.0,0.0,0.0,negative,moderate,
osm-11445322163-5498027298-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,26.926,Jalan Inspeksi Tarum Barat,primary,572251879,11445322163,5498027298,0,250,0.75,0.05,coarse-modis-250m,209516.674,0.963836,0.963836,0.0,0.0,0.0,negative,moderate,
osm-11455806150-1133807034-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,1.8,Jalan Cipinang Indah I,tertiary,1238777272,11455806150,1133807034,0,250,0.75,0.05,coarse-modis-250m,196978.808,0.960908,0.960908,0.0,0.0,0.0,negative,moderate,
osm-11467500634-11399827589-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,82.311,Jalan Letnan Jenderal MT Haryono,trunk,98454566,11467500634,11399827589,0,250,0.75,0.05,coarse-modis-250m,237251.171,0.967,0.967,0.0,0.0,0.0,negative,moderate,
osm-11477683648-186871952-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,37.639,Jalan Jatibaru,primary,556957356,11477683648,186871952,0,250,0.75,0.05,coarse-modis-250m,214898.081,0.964361,0.964361,0.0,0.0,0.0,negative,moderate,
